"word1","word2","n"
"accurate","count",169
"nyc","initiative",169
"report","waste",169
"waste","leaking",169
"conditions","caused",168
"report","unsanitary",168
"food","carts",167
"public","trash",167
"construction","projects",166
"hump","installation",166
"installation","repair",166
"property","transfer",166
"request","speed",166
"speed","bump",166
"transfer","tax",166
"vacant","building",166
"activity","assault",165
"city","employee",165
"illegal","activity",165
"suspected","wrongdoing",165
"building","floor",164
"floor","plans",164
"30","days",163
"private","schools",163
"vacation","rentals",163
"benefit","programs",162
"linknyc","kiosk",162
"nyc","ferry",162
"dust","due",161
"lead","dust",161
"paint","peeling",161
"peeling","paint",161
"report","lead",161
"arrest","warrant",160
"city","police",160
"warrant","issued",160
"ferry","including",159
"including","routes",159
"lost","item",159
"routes","fares",159
"adoption","check",158
"adoption","subsidy",158
"care","request",158
"request","assistance",158
"subsidy","payments",158
"water","meters",158
"mta","transit",157
"school","zone",157
"student's","school",157
"transit","ticket",157
"window","guards",157
"zone","based",157
"requests","submitted",156
"manhattan","residents",155
"parking","spaces",155
"term","parking",155
"ecb","violations",154
"friends","caring",154
"homeless","adult",154
"legal","counseling",154
"person","60",154
"person","selling",154
"seniors","caring",154
"submit","proof",154
"home","repair",153
"lawyer","including",153
"retrieve","items",153
"sidewalk","gratings",153
"unlicensed","lawyer",153
"car","repair",152
"homeowner","concerned",152
"illegal","animal",152
"request","housing",152
"charitable","educational",150
"cream","truck",150
"criminal","fingerprints",150
"educational","medical",150
"elementary","school",150
"ice","cream",150
"nyc","teen",150
"religious","purposes",150
"renew","property",150
"report","music",150
"tobacco","products",150
"businesses","including",149
"care","payments",149
"connect","walk",149
"families","includes",149
"includes","youth",149
"including","maps",149
"people","troubled",149
"planning","publications",149
"publications","including",149
"rubber","tires",149
"teen","website",149
"troubled","youth",149
"truck","driver",149
"youth","connect",149
"care","record",148
"health","speaker",148
"classroom","learning",147
"educational","program",147
"learning","tutoring",147
"specific","educational",147
"brokers","including",145
"illegal","change",145
"including","registration",145
"legal","certificate",145
"registration","information",145
"administrative","code",144
"annual","city",144
"city","charter",144
"city","event",144
"closure","policy",144
"identity","theft",144
"illegal","fireworks",144
"individuals","prevent",144
"prevent","identity",144
"school","closure",144
"shred","fest",144
"electricity","service",143
"heat","water",143
"water","gas",143
"amr","devices",142
"automated","meter",142
"meter","reading",142
"reading","amr",142
"city","trees",138
"destroying","city",138
"baby","syndrome",137
"foreign","country",137
"including","information",137
"parents","including",137
"preventing","shaken",137
"public","sidewalk",137
"shaken","baby",137
